Estado,Sector ,Tipo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chihuahua,Primaria  , TOTAL,"453,007","447,806","443,113","439,841","442,034","439,339","440,472","447,617","448,768","446,293","442,155","439,224","436,804","433,969","431,026","429,694","427,440","424,411","421,956","418,256","410,612","411,264","407,815","403,346","399,370"
Chihuahua,Primaria, P�BLICO,"424,110","418,496","414,501","410,944","412,775","409,779","409,938","415,940","417,983","417,056","413,343","410,190","406,748","403,169","399,482","397,323","393,526","387,672","384,278","379,906","375,235","374,039","368,986","363,972","359,342"
Chihuahua,Primaria, PRIVADO,"28,897","29,310","28,612","28,897","29,259","29,560","30,534","31,677","30,785","29,237","28,812","29,034","30,056","30,800","31,544","32,371","33,914","36,739","37,678","38,350","35,377","37,225","38,829","39,374","40,028"
Chihuahua,Secundaria, TOTAL,"143,937","150,071","157,335","161,441","166,371","170,166","171,799","170,940","169,989","170,938","177,021","183,139","187,949","191,174","193,235","190,865","188,206","187,325","188,766","190,095","191,704","193,255","185,353","185,093","185,592"
Chihuahua,Secundaria, P�BLICO,"133,775","139,768","146,788","151,070","155,848","159,287","160,903","159,984","159,288","160,681","166,532","172,220","176,108","179,081","180,696","171,209","174,886","167,905","169,067","170,443","172,501","173,786","166,771","165,992","166,140"
Chihuahua,Secundaria, PRIVADO,"10,162","10,303","10,547","10,371","10,523","10,879","10,896","10,956","10,701","10,257","10,489","10,919","11,841","12,093","12,539","19,656","13,320","19,420","19,699","19,652","19,203","19,469","18,582","19,101","19,452"
Chihuahua,Bachillerato, TOTAL,"74,204","79,342","85,312","92,650","96,299","100,219","104,000","107,557","111,427","114,508","114,630","115,671","119,453","134,709","141,246","144,003","144,905","145,021","144,418","142,543","143,293","139,847","144,598","145,007","143,031"
Chihuahua,Bachillerato, P�BLICO,"52,457","55,942","60,116","64,607","66,791","70,285","73,267","77,062","81,848","85,114","86,838","89,459","93,557","92,464","104,767","108,428","108,431","107,698","106,869","108,632","118,159","116,145","120,413","120,827","119,225"
Chihuahua,Bachillerato, PRIVADO,"21,747","23,400","25,196","28,043","29,508","29,934","30,733","30,495","29,579","29,394","27,792","26,212","25,896","42,245","36,479","35,575","36,474","37,323","37,549","33,911","25,134","23,702","24,185","24,180","23,806"
Ciudad de Mexico,Preescolar, TOTAL,"286,484","282,000","292,456","299,976","316,435","315,307","335,993","322,558","314,188","310,206","308,045","313,978","307,983","304,881","296,415","299,199","301,033","290,039","279,876","277,342","232,889","213,537","219,271","208,002","200,781"
Ciudad de Mexico,Preescolar, P�BLICO,"198,576","194,609","203,608","212,773","227,538","222,401","234,188","225,247","221,780","220,670","219,256","223,201","217,061","215,683","209,032","211,278","212,148","202,732","194,154","195,045","180,417","170,529","166,004","156,092","151,040"
Ciudad de Mexico,Preescolar, PRIVADO,"87,908","87,391","88,848","87,203","88,897","92,906","101,805","97,311","92,408","89,536","88,789","90,777","90,922","89,198","87,383","87,921","88,885","87,307","85,722","82,297","52,472","43,008","53,267","51,910","49,741"
Ciudad de Mexico,Primaria  , TOTAL,"1,019,873","1,011,133","1,002,558","989,942","969,140","964,303","954,941","947,979","944,599","942,564","942,442","944,040","924,402","908,114","876,983","879,568","857,117","839,197","819,843","805,705","789,656","776,219","746,095","722,084","694,348"
Ciudad de Mexico,Primaria, P�BLICO,"808,597","795,733","786,711","778,583","765,047","763,219","762,087","759,284","759,814","760,797","763,237","765,343","747,662","733,207","708,803","708,408","687,533","669,823","652,661","643,672","646,496","640,463","608,097","586,506","564,066"
Ciudad de Mexico,Primaria, PRIVADO,"211,276","215,400","215,847","211,359","204,093","201,084","192,854","188,695","184,785","181,767","179,205","178,697","176,740","174,907","168,180","171,160","169,584","169,374","167,182","162,033","143,160","135,756","137,998","135,578","130,282"
Ciudad de Mexico,Secundaria, TOTAL,"484,724","488,886","483,904","484,027","488,742","498,610","490,050","482,646","477,460","466,367","461,252","457,299","473,299","487,556","489,206","482,317","466,285","453,776","444,649","436,827","438,828","432,334","409,226","404,808","404,985"
Ciudad de Mexico,Secundaria, P�BLICO,"410,475","412,805","407,554","408,489","414,084","423,190","417,357","410,609","406,847","397,565","392,708","388,747","403,365","415,882","416,141","408,397","393,125","381,497","373,208","366,563","372,861","369,144","346,287","340,791","340,817"
